	_id	aproxlinkstart	link	ltt	travel_id	trip_id	headway
1	5c76ed6abd8143570f3c4e02	2017-07-03 05:15:00	(3876, 3877)	59.19403545856812	7001	2005-10-0	4346
2	5c76ed6abd8143570f3c4e03	2017-07-03 05:39:29	(3876, 3877)	36.81777084584792	7002	2005-10-0	1469
3	5c76ed6abd8143570f3c4e04	2017-07-03 05:54:42	(3876, 3877)	40.214715021614325	7003	2005-10-0	913
4	5c76ed6abd8143570f3c4e05	2017-07-03 06:15:47	(3876, 3877)	49.592457006720906	7004	2005-10-0	1265
5	5c76ed6abd8143570f3c4e06	2017-07-03 06:35:00	(3876, 3877)	59.65708397971639	7005	2005-10-0	1153
6	5c76ed6abd8143570f3c4e07	2017-07-03 06:57:02	(3876, 3877)	42.29019661028076	7006	2005-10-0	1322
7	5c76ed6abd8143570f3c4e08	2017-07-03 07:12:50	(3876, 3877)	71.76754036893718	7007	2005-10-0	948
8	5c76ed6abd8143570f3c4e09	2017-07-03 07:48:02	(3876, 3877)	139.57197519113396	7008	2005-10-0	2112
9	5c76ed6abd8143570f3c4e0a	2017-07-03 08:18:45	(3876, 3877)	102.25842380075854	7009	2005-10-0	1843
10	5c76ed6abd8143570f3c4e0b	2017-07-03 10:01:00	(3876, 3877)	57.41072606620753	7010	2005-10-0	6135
11	5c76ed6abd8143570f3c4e0c	2017-07-03 10:20:27	(3876, 3877)	78.17865224307013	7011	2005-10-0	1167
12	5c76ed6abd8143570f3c4e0d	2017-07-03 10:31:09	(3876, 3877)	139.5016903118742	7012	2005-10-0	642
13	5c76ed6abd8143570f3c4e0e	2017-07-03 12:52:37	(3876, 3877)	105.92532886426727	7013	2005-10-0	8488
14	5c76ed6abd8143570f3c4e0f	2017-07-03 13:05:01	(3876, 3877)	102.84315474200173	7014	2005-10-0	744
15	5c76ed6abd8143570f3c4e10	2017-07-03 13:30:48	(3876, 3877)	95.80963934186795	7015	2005-10-0	1547
17	5c76ed6abd8143570f3c4e12	2017-07-03 14:12:22	(3876, 3877)	66.1794574820799	7017	2005-10-0	774
18	5c76ed6abd8143570f3c4e13	2017-07-03 14:33:00	(3876, 3877)	86.73051421484624	7018	2005-10-0	1238
19	5c76ed6abd8143570f3c4e14	2017-07-03 15:05:46	(3876, 3877)	11.056621275253319	7019	2005-10-0	1966
20	5c76ed6abd8143570f3c4e15	2017-07-03 15:57:23	(3876, 3877)	42.01270329400654	7020	2005-10-0	3097
21	5c76ed6abd8143570f3c4e16	2017-07-03 16:30:06	(3876, 3877)	79.83981725440276	7021	2005-10-0	1963
22	5c76ed6abd8143570f3c4e17	2017-07-03 17:02:01	(3876, 3877)	147.73915285960948	7022	2005-10-0	1915
23	5c76ed6abd8143570f3c4e18	2017-07-03 18:25:00	(3876, 3877)	89.89230234101274	7023	2005-10-0	4979
24	5c76ed6abd8143570f3c4e19	2017-07-03 18:25:02	(3876, 3877)	51.03728894136485	7024	2005-10-0	2
26	5c76ed6abd8143570f3c4e1b	2017-07-03 19:03:50	(3876, 3877)	65.21198454859154	7026	2005-10-0	793
27	5c76ed6abd8143570f3c4e1c	2017-07-03 21:04:00	(3876, 3877)	35.65118554457035	7027	2005-10-0	7210
28	5c76ed6abd8143570f3c4e1d	2017-07-03 21:22:49	(3876, 3877)	32.372928872686316	7028	2005-10-0	1129
29	5c76ed6abd8143570f3c4e1e	2017-07-03 21:44:25	(3876, 3877)	58.417881682056695	7029	2005-10-0	1296
30	5c76ed6abd8143570f3c4e1f	2017-07-03 21:52:54	(3876, 3877)	24.907684595546954	7030	2005-10-0	509
31	5c76ed6abd8143570f3c4e20	2017-07-03 22:27:01	(3876, 3877)	73.22322222844332	7031	2005-10-0	2047
1	5c76ed6abd8143570f3c4e22	2017-07-04 04:57:20	(3876, 3877)	39.82446792408132	7033	2005-10-0	3430
2	5c76ed6abd8143570f3c4e23	2017-07-04 05:25:09	(3876, 3877)	68.43477301099153	7034	2005-10-0	1669
3	5c76ed6abd8143570f3c4e24	2017-07-04 05:33:58	(3876, 3877)	87.17781394183214	7035	2005-10-0	529
4	5c76ed6abd8143570f3c4e25	2017-07-04 05:34:22	(3876, 3877)	65.82811874394656	7036	2005-10-0	24
5	5c76ed6abd8143570f3c4e26	2017-07-04 05:47:00	(3876, 3877)	57.735275144596926	7037	2005-10-0	758
6	5c76ed6abd8143570f3c4e27	2017-07-04 05:51:11	(3876, 3877)	28.610790832951125	7038	2005-10-0	251
7	5c76ed6abd8143570f3c4e28	2017-07-04 06:06:48	(3876, 3877)	71.15676287312635	7039	2005-10-0	937
8	5c76ed6abd8143570f3c4e29	2017-07-04 06:15:18	(3876, 3877)	53.48262160772333	7040	2005-10-0	510
9	5c76ed6abd8143570f3c4e2a	2017-07-04 06:27:30	(3876, 3877)	61.40492487367624	7041	2005-10-0	732
10	5c76ed6abd8143570f3c4e2b	2017-07-04 06:38:58	(3876, 3877)	83.45737545663474	7042	2005-10-0	688
11	5c76ed6abd8143570f3c4e2c	2017-07-04 06:45:26	(3876, 3877)	62.7695324967965	7043	2005-10-0	388
12	5c76ed6abd8143570f3c4e2d	2017-07-04 06:56:17	(3876, 3877)	69.91423882139611	7044	2005-10-0	651
13	5c76ed6abd8143570f3c4e2e	2017-07-04 07:05:00	(3876, 3877)	89.00296178269173	7045	2005-10-0	523
14	5c76ed6abd8143570f3c4e2f	2017-07-04 07:15:29	(3876, 3877)	58.146805800717175	7046	2005-10-0	629
15	5c76ed6abd8143570f3c4e30	2017-07-04 07:26:32	(3876, 3877)	71.80228106430968	7047	2005-10-0	663
16	5c76ed6abd8143570f3c4e31	2017-07-04 07:39:42	(3876, 3877)	63.51991138962444	7048	2005-10-0	790
17	5c76ed6abd8143570f3c4e32	2017-07-04 07:46:41	(3876, 3877)	101.42122933913993	7049	2005-10-0	419
18	5c76ed6abd8143570f3c4e33	2017-07-04 08:05:54	(3876, 3877)	57.179659629749494	7050	2005-10-0	1153
19	5c76ed6abd8143570f3c4e34	2017-07-04 08:21:26	(3876, 3877)	72.87564450156594	7051	2005-10-0	932
20	5c76ed6abd8143570f3c4e35	2017-07-04 08:25:01	(3876, 3877)	74.2242267227382	7052	2005-10-0	215
21	5c76ed6abd8143570f3c4e36	2017-07-04 08:43:01	(3876, 3877)	95.61352174003775	7053	2005-10-0	1080
22	5c76ed6abd8143570f3c4e37	2017-07-04 08:46:48	(3876, 3877)	80.71339233699496	7054	2005-10-0	227
23	5c76ed6abd8143570f3c4e38	2017-07-04 08:54:42	(3876, 3877)	57.99709938084061	7055	2005-10-0	474
24	5c76ed6abd8143570f3c4e39	2017-07-04 09:07:55	(3876, 3877)	83.75663644951624	7056	2005-10-0	793
25	5c76ed6abd8143570f3c4e3a	2017-07-04 09:25:47	(3876, 3877)	80.80619399627267	7057	2005-10-0	1072
26	5c76ed6abd8143570f3c4e3b	2017-07-04 09:26:34	(3876, 3877)	42.786804258868074	7058	2005-10-0	47
27	5c76ed6abd8143570f3c4e3c	2017-07-04 09:36:22	(3876, 3877)	96.3690633142096	7059	2005-10-0	588
28	5c76ed6abd8143570f3c4e3d	2017-07-04 09:44:02	(3876, 3877)	128.59040394650333	7060	2005-10-0	460
29	5c76ed6abd8143570f3c4e3e	2017-07-04 10:23:02	(3876, 3877)	57.80311587340191	7061	2005-10-0	2340
30	5c76ed6abd8143570f3c4e3f	2017-07-04 10:25:57	(3876, 3877)	88.90487385492702	7062	2005-10-0	175
31	5c76ed6abd8143570f3c4e40	2017-07-04 10:43:50	(3876, 3877)	130.05018095250796	7063	2005-10-0	1073
32	5c76ed6abd8143570f3c4e41	2017-07-04 11:52:24	(3876, 3877)	78.41637083228022	7064	2005-10-0	4114
33	5c76ed6abd8143570f3c4e42	2017-07-04 12:34:59	(3876, 3877)	53.64827791504871	7065	2005-10-0	2555
34	5c76ed6abd8143570f3c4e43	2017-07-04 13:00:01	(3876, 3877)	130.89812207838963	7066	2005-10-0	1502
35	5c76ed6abd8143570f3c4e44	2017-07-04 13:02:45	(3876, 3877)	68.98950729024	7067	2005-10-0	164
36	5c76ed6abd8143570f3c4e45	2017-07-04 13:13:36	(3876, 3877)	11.36164755128074	7068	2005-10-0	651
37	5c76ed6abd8143570f3c4e46	2017-07-04 13:30:30	(3876, 3877)	107.85276024928635	7069	2005-10-0	1014
38	5c76ed6abd8143570f3c4e47	2017-07-04 13:45:55	(3876, 3877)	53.94346046670057	7070	2005-10-0	925
39	5c76ed6abd8143570f3c4e48	2017-07-04 13:54:19	(3876, 3877)	78.97648793692883	7071	2005-10-0	504
40	5c76ed6abd8143570f3c4e49	2017-07-04 14:32:00	(3876, 3877)	58.82335929461601	7072	2005-10-0	2261
41	5c76ed6abd8143570f3c4e4a	2017-07-04 14:55:58	(3876, 3877)	47.21620357596407	7073	2005-10-0	1438
42	5c76ed6abd8143570f3c4e4b	2017-07-04 15:21:44	(3876, 3877)	144.2796624697637	7074	2005-10-0	1546
43	5c76ed6abd8143570f3c4e4c	2017-07-04 15:55:24	(3876, 3877)	117.79198162114558	7075	2005-10-0	2020
44	5c76ed6abd8143570f3c4e4d	2017-07-04 16:06:08	(3876, 3877)	105.72476125579178	7076	2005-10-0	644
45	5c76ed6abd8143570f3c4e4e	2017-07-04 16:18:02	(3876, 3877)	89.18187937600601	7077	2005-10-0	714
46	5c76ed6abd8143570f3c4e4f	2017-07-04 16:37:21	(3876, 3877)	115.90974573344948	7078	2005-10-0	1159
47	5c76ed6abd8143570f3c4e50	2017-07-04 16:55:09	(3876, 3877)	93.40097211955447	7079	2005-10-0	1068
48	5c76ed6abd8143570f3c4e51	2017-07-04 17:17:10	(3876, 3877)	49.777526268288966	7080	2005-10-0	1321
49	5c76ed6abd8143570f3c4e52	2017-07-04 17:23:01	(3876, 3877)	115.18163143073548	7081	2005-10-0	351
50	5c76ed6abd8143570f3c4e53	2017-07-04 17:48:38	(3876, 3877)	87.88664939494953	7082	2005-10-0	1537
51	5c76ed6abd8143570f3c4e54	2017-07-04 17:59:44	(3876, 3877)	87.92863481225243	7083	2005-10-0	666
52	5c76ed6abd8143570f3c4e55	2017-07-04 19:46:52	(3876, 3877)	62.452010635067836	7084	2005-10-0	6428
53	5c76ed6abd8143570f3c4e56	2017-07-04 20:00:29	(3876, 3877)	94.11403317937743	7085	2005-10-0	817
54	5c76ed6abd8143570f3c4e57	2017-07-04 20:35:00	(3876, 3877)	21.976940684741066	7086	2005-10-0	2071
55	5c76ed6abd8143570f3c4e58	2017-07-04 21:48:18	(3876, 3877)	44.199077965578795	7087	2005-10-0	4398
0	5c76ed6abd8143570f3c4e59	2017-07-05 04:31:00	(3876, 3877)	73.22322222844332	7088	2005-10-0	0
1	5c76ed6abd8143570f3c4e5a	2017-07-05 04:56:36	(3876, 3877)	69.25483908801925	7089	2005-10-0	1536
2	5c76ed6abd8143570f3c4e5b	2017-07-05 05:13:39	(3876, 3877)	75.35571264416558	7090	2005-10-0	1023
3	5c76ed6abd8143570f3c4e5c	2017-07-05 05:21:36	(3876, 3877)	60.092338439162745	7091	2005-10-0	477
4	5c76ed6abd8143570f3c4e5d	2017-07-05 05:25:31	(3876, 3877)	40.901454210483735	7092	2005-10-0	235
5	5c76ed6abd8143570f3c4e5e	2017-07-05 05:43:13	(3876, 3877)	56.6976093594551	7093	2005-10-0	1062
6	5c76ed6abd8143570f3c4e5f	2017-07-05 06:00:37	(3876, 3877)	53.30953769949929	7094	2005-10-0	1044
